timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764710625009,203,GET - Filmes,200,OK,Thread Group 1-1,text,true,,540,158,100,100,http://localhost:3000/api/filmes,203,0,1
1764710625009,203,GET - Filmes,200,OK,Thread Group 1-3,text,true,,540,158,100,100,http://localhost:3000/api/filmes,203,0,1
1764710625009,204,GET - Filmes,200,OK,Thread Group 1-100,text,true,,540,158,100,100,http://localhost:3000/api/filmes,204,0,1
1764710625009,204,GET - Filmes,200,OK,Thread Group 1-2,text,true,,540,158,100,100,http://localhost:3000/api/filmes,204,0,1
1764710625011,202,GET - Filmes,200,OK,Thread Group 1-8,text,true,,540,158,100,100,http://localhost:3000/api/filmes,202,0,0
1764710625009,205,GET - Filmes,200,OK,Thread Group 1-4,text,true,,540,158,100,100,http://localhost:3000/api/filmes,205,0,2
1764710625011,203,GET - Filmes,200,OK,Thread Group 1-9,text,true,,540,158,100,100,http://localhost:3000/api/filmes,203,0,0
1764710625010,204,GET - Filmes,200,OK,Thread Group 1-5,text,true,,540,158,100,100,http://localhost:3000/api/filmes,204,0,1
1764710625010,205,GET - Filmes,200,OK,Thread Group 1-7,text,true,,540,158,100,100,http://localhost:3000/api/filmes,205,0,1
1764710625009,206,GET - Filmes,200,OK,Thread Group 1-6,text,true,,540,158,100,100,http://localhost:3000/api/filmes,206,0,2
1764710625011,204,GET - Filmes,200,OK,Thread Group 1-10,text,true,,540,158,100,100,http://localhost:3000/api/filmes,204,0,0
1764710625011,204,GET - Filmes,200,OK,Thread Group 1-11,text,true,,540,158,100,100,http://localhost:3000/api/filmes,204,0,0
1764710625012,203,GET - Filmes,200,OK,Thread Group 1-13,text,true,,540,158,100,100,http://localhost:3000/api/filmes,203,0,0
1764710625012,204,GET - Filmes,200,OK,Thread Group 1-12,text,true,,540,158,100,100,http://localhost:3000/api/filmes,204,0,0
1764710625012,204,GET - Filmes,200,OK,Thread Group 1-15,text,true,,540,158,100,100,http://localhost:3000/api/filmes,204,0,0
1764710625012,205,GET - Filmes,200,OK,Thread Group 1-14,text,true,,540,158,100,100,http://localhost:3000/api/filmes,205,0,0
1764710625012,205,GET - Filmes,200,OK,Thread Group 1-16,text,true,,540,158,100,100,http://localhost:3000/api/filmes,205,0,0
1764710625012,206,GET - Filmes,200,OK,Thread Group 1-18,text,true,,540,158,100,100,http://localhost:3000/api/filmes,206,0,0
1764710625012,206,GET - Filmes,200,OK,Thread Group 1-17,text,true,,540,158,100,100,http://localhost:3000/api/filmes,206,0,0
1764710625013,205,GET - Filmes,200,OK,Thread Group 1-19,text,true,,540,158,100,100,http://localhost:3000/api/filmes,205,0,0
1764710625013,205,GET - Filmes,200,OK,Thread Group 1-20,text,true,,540,158,100,100,http://localhost:3000/api/filmes,205,0,0
1764710625013,206,GET - Filmes,200,OK,Thread Group 1-21,text,true,,540,158,100,100,http://localhost:3000/api/filmes,206,0,0
1764710625013,206,GET - Filmes,200,OK,Thread Group 1-22,text,true,,540,158,100,100,http://localhost:3000/api/filmes,206,0,0
1764710625013,206,GET - Filmes,200,OK,Thread Group 1-23,text,true,,540,158,100,100,http://localhost:3000/api/filmes,206,0,0
1764710625014,205,GET - Filmes,200,OK,Thread Group 1-24,text,true,,540,158,100,100,http://localhost:3000/api/filmes,205,0,0
1764710625014,205,GET - Filmes,200,OK,Thread Group 1-25,text,true,,540,158,100,100,http://localhost:3000/api/filmes,205,0,0
1764710625014,206,GET - Filmes,200,OK,Thread Group 1-26,text,true,,540,158,100,100,http://localhost:3000/api/filmes,206,0,0
1764710625014,206,GET - Filmes,200,OK,Thread Group 1-27,text,true,,540,158,100,100,http://localhost:3000/api/filmes,206,0,0
1764710625014,206,GET - Filmes,200,OK,Thread Group 1-28,text,true,,540,158,100,100,http://localhost:3000/api/filmes,206,0,0
1764710625015,205,GET - Filmes,200,OK,Thread Group 1-31,text,true,,540,158,100,100,http://localhost:3000/api/filmes,205,0,0
