66,17:41:52.334,Thread Group 1-6,GET - Filmes,4006,Success,540,158,4006,0
67,17:41:54.335,Thread Group 1-4,GET - Filmes,2005,Success,540,158,2005,0
68,17:41:55.674,Thread Group 1-3,POST - Comprar,1322,Success,313,200,1322,0
69,17:41:55.674,Thread Group 1-1,POST - Comprar,1973,Success,312,200,1973,0
70,17:41:56.340,Thread Group 1-2,POST - Comprar,1971,Success,312,200,1971,0
71,17:41:56.340,Thread Group 1-7,POST - Comprar,2629,Success,312,200,2629,0
72,17:41:55.002,Thread Group 1-10,GET - Filmes,3968,Success,540,158,3967,0
73,17:41:56.340,Thread Group 1-5,POST - Comprar,3292,Success,312,200,3292,0
74,17:41:56.341,Thread Group 1-6,POST - Comprar,3950,Success,312,200,3950,0
75,17:41:56.341,Thread Group 1-4,POST - Comprar,4620,Success,313,200,4620,0
76,17:41:56.340,Thread Group 1-9,GET - Filmes,4622,Success,540,158,4622,0
77,17:41:55.673,Thread Group 1-8,GET - Filmes,5289,Success,540,158,5289,0
78,17:41:58.970,Thread Group 1-10,POST - Comprar,2650,Success,313,200,2650,0
79,17:41:57.648,Thread Group 1-1,GET - Filmes,3972,Success,540,158,3972,0
80,17:41:56.996,Thread Group 1-3,GET - Filmes,4624,Success,540,158,4624,0
81,17:41:58.312,Thread Group 1-2,GET - Filmes,3309,Success,540,158,3309,0
82,17:42:00.962,Thread Group 1-9,POST - Comprar,1317,Success,312,200,1317,0
83,17:42:00.962,Thread Group 1-8,POST - Comprar,1975,Success,313,200,1974,0
84,17:41:59.632,Thread Group 1-5,GET - Filmes,3305,Success,540,158,3305,0
85,17:42:00.291,Thread Group 1-6,GET - Filmes,2646,Success,540,158,2646,0
86,17:41:58.970,Thread Group 1-7,GET - Filmes,3967,Success,540,158,3967,0
87,17:42:01.621,Thread Group 1-1,POST - Comprar,1974,Success,312,200,1974,0
88,17:42:01.621,Thread Group 1-2,POST - Comprar,2630,Success,312,200,2630,0
89,17:42:01.621,Thread Group 1-3,POST - Comprar,3287,Success,313,200,3287,0
90,17:42:01.620,Thread Group 1-10,GET - Filmes,3289,Success,540,158,3289,0
91,17:42:00.962,Thread Group 1-4,GET - Filmes,3947,Success,540,158,3947,0
92,17:42:02.937,Thread Group 1-5,POST - Comprar,2629,Success,313,200,2629,0
93,17:42:02.937,Thread Group 1-6,POST - Comprar,3284,Success,313,200,3284,0
94,17:42:02.937,Thread Group 1-7,POST - Comprar,3939,Success,313,200,3939,0
95,17:42:02.279,Thread Group 1-9,GET - Filmes,4597,Success,540,158,4597,0
96,17:42:04.909,Thread Group 1-10,POST - Comprar,2623,Success,312,200,2623,0
97,17:42:04.909,Thread Group 1-4,POST - Comprar,3275,Success,312,200,3275,0
98,17:42:03.595,Thread Group 1-1,GET - Filmes,4589,Success,540,158,4589,0
